"DateTime","Number of Large Transactions","Price"
"2015-07-04 00:00:00",290,257.23
"2015-07-05 00:00:00",513,265.88
"2015-07-06 00:00:00",654,271.97
"2015-07-07 00:00:00",541,267.27
"2015-07-08 00:00:00",522,268.38
"2015-07-09 00:00:00",631,268.72
"2015-07-10 00:00:00",1010,282.38
"2015-07-11 00:00:00",658,290.52
"2015-07-12 00:00:00",622,303.57
"2015-07-13 00:00:00",766,293.87
"2015-07-14 00:00:00",687,291.07
"2015-07-15 00:00:00",506,288.05
"2015-07-16 00:00:00",617,282.06
"2015-07-17 00:00:00",435,275.97
"2015-07-18 00:00:00",368,262.89
"2015-07-19 00:00:00",276,274.46
"2015-07-20 00:00:00",340,275.34
"2015-07-21 00:00:00",338,277.62
"2015-07-22 00:00:00",327,275.26
"2015-07-23 00:00:00",403,276.16
"2015-07-24 00:00:00",533,282.03
"2015-07-25 00:00:00",296,287.96
"2015-07-26 00:00:00",222,290.02
"2015-07-27 00:00:00",327,290.6
"2015-07-28 00:00:00",523,294.18
"2015-07-29 00:00:00",455,290.81
"2015-07-30 00:00:00",417,287.4
"2015-07-31 00:00:00",438,284.73
"2015-08-01 00:00:00",267,280.41
"2015-08-02 00:00:00",188,279.22
"2015-08-03 00:00:00",313,281.97
"2015-08-04 00:00:00",335,282.62
"2015-08-05 00:00:00",375,282.99
"2015-08-06 00:00:00",236,279.22
"2015-08-07 00:00:00",283,276.94
"2015-08-08 00:00:00",370,268.17
"2015-08-09 00:00:00",380,262.65
"2015-08-10 00:00:00",433,263.58
"2015-08-11 00:00:00",434,265.67
"2015-08-12 00:00:00",457,267.58
"2015-08-13 00:00:00",486,264.83
"2015-08-14 00:00:00",542,263.72
"2015-08-15 00:00:00",280,262.97
"2015-08-16 00:00:00",351,258.25
"2015-08-17 00:00:00",411,256.4
"2015-08-18 00:00:00",525,251.64
"2015-08-19 00:00:00",523,231.12
"2015-08-20 00:00:00",515,231.79
"2015-08-21 00:00:00",380,233.39
"2015-08-22 00:00:00",385,228.06
"2015-08-23 00:00:00",324,228.49
"2015-08-24 00:00:00",549,218.13
